Site,Marca,Nome,Preço,Data
pichau,Gigabyte,RTX 4070,4900.00,2025/04/14
pichau,Inno3D,RTX 4060 ti,4159.99,2025/04/14
pichau,Inno3D,RTX 4060 ti,3999.99,2025/04/14
pichau,XFX,RX 7600,1869.99,2025/04/14
kabum,Gigabyte,RTX 5060 ti,4499.99,2025-04-17
kabum,ASUS,RTX 5060 ti,4599.99,2025-04-17
kabum,Gigabyte,RTX 5060 ti,4599.99,2025-04-17
kabum,AORUS,RTX 5060 ti,4999.99,2025-04-17
kabum,AERO,RTX 5060 ti,4799.99,2025-04-17
kabum,EAGLEOC,RTX 5060 ti,4599.99,2025-04-17
kabum,ASUS,RTX 5060 ti,4699.99,2025-04-17
kabum,ASRock,RX 6600,1599.9,2025-04-17
kabum,Gigabyte,RX 7600,1999.99,2025-04-17
kabum,Palit,RTX 4060,2299.99,2025-04-17
kabum,Gigabyte,RTX 4060 ti,3299.99,2025-04-17
kabum,XFX,RX 7600,1899.99,2025-04-17
kabum,Galax,RTX 3050,1399.99,2025-04-17
kabum,Galax,RTX 4060,2399.9,2025-04-17
kabum,Gigabyte,RTX 4060,2699.9,2025-04-17
kabum,Galax,RTX 4060,2703.55,2025-04-17
kabum,ASUS,RTX 5060 ti,4599.99,2025-04-17
kabum,Gigabyte,RTX 5060 ti,4499.99,2025-04-17
kabum,Gigabyte,RTX 5060 ti,4599.99,2025-04-17
kabum,AORUS,RTX 5060 ti,4999.99,2025-04-17
kabum,AERO,RTX 5060 ti,4799.99,2025-04-17
kabum,EAGLEOC,RTX 5060 ti,4599.99,2025-04-17
kabum,ASUS,RTX 5060 ti,4699.99,2025-04-17
kabum,ASRock,RX 6600,1599.9,2025-04-17
kabum,Gigabyte,RX 7600,1999.99,2025-04-17
kabum,Palit,RTX 4060,2299.99,2025-04-17
kabum,Gigabyte,RTX 4060 ti,3299.99,2025-04-17
kabum,XFX,RX 7600,1899.99,2025-04-17
kabum,Galax,RTX 3050,1399.99,2025-04-17
